frame_number,timestamp_sec,object_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2
1,0.04,1,player,0.7722,416.61,375.32,447.06,398.44
1,0.04,2,player,0.6531,391.81,435.72,444.02,470.3
1,0.04,3,player,0.5907,569.98,0.3,590.76,25.44
1,0.04,4,player,0.577,450.8,315.82,494.85,342.33
1,0.04,5,player,0.5606,1194.57,142.52,1257.78,163.97
1,0.04,6,player,0.5594,550.75,221.22,571.7,246.94
1,0.04,7,player,0.505,556.59,363.26,584.18,384.07
1,0.04,8,player,0.4213,44.89,137.02,84.93,159.19
1,0.04,9,player,0.384,572.59,316.72,600.26,334.24
1,0.04,10,player,0.2915,36.39,91.91,78.07,116.84
1,0.04,11,player,0.2668,653.13,339.35,672.26,370.27
2,0.09,1,player,0.6533,408.49,375.47,443.41,402.12
2,0.09,2,player,0.7737,390.16,430.15,449.09,469.23
2,0.09,3,player,0.6936,570.15,0.35,590.52,25.0
2,0.09,4,player,0.2831,446.92,316.34,488.82,341.52
2,0.09,5,player,0.3153,1194.72,141.88,1257.77,163.29
2,0.09,6,player,0.399,546.28,220.91,567.71,246.95
2,0.09,7,player,0.1301,549.6,362.24,577.83,383.57
2,0.09,8,player,0.2365,44.65,136.28,85.37,158.83
2,0.09,10,player,0.2392,36.38,91.56,78.09,116.5
2,0.09,11,player,0.4898,650.34,339.67,669.7,370.99
3,0.13,1,player,0.6149,402.06,375.41,439.02,403.9
3,0.13,2,player,0.7514,391.08,429.78,448.66,468.03
3,0.13,3,player,0.7103,570.46,0.33,590.52,24.62
3,0.13,4,player,0.4685,441.98,318.04,481.11,341.5
3,0.13,5,player,0.2752,1194.05,141.5,1258.27,163.32
3,0.13,6,player,0.6873,544.48,221.12,566.11,246.88
3,0.13,8,player,0.175,44.95,135.9,85.06,158.12
3,0.13,10,player,0.121,36.35,91.54,78.08,116.5
4,0.17,2,player,0.7804,390.44,427.03,448.38,465.69
4,0.17,3,player,0.4827,570.66,0.28,590.48,24.26
4,0.17,4,player,0.7282,435.52,319.39,471.66,341.03
4,0.17,5,player,0.3682,1194.83,140.97,1257.59,162.28
4,0.17,6,player,0.4656,543.89,221.67,565.25,246.44
4,0.17,8,player,0.1352,45.12,135.62,85.11,157.79
5,0.22,2,player,0.8148,390.02,424.39,446.51,462.34
5,0.22,3,player,0.5602,570.74,0.26,590.36,23.98
5,0.22,5,player,0.506,1194.44,140.83,1258.04,162.44
5,0.22,8,player,0.129,45.22,135.45,85.13,157.6
5,0.22,1,player,0.426,392.69,374.53,428.27,402.4
6,0.26,2,player,0.8427,390.08,422.9,445.73,460.61
6,0.26,3,player,0.4474,570.92,0.27,590.46,23.85
6,0.26,5,player,0.2497,1193.21,140.46,1259.26,162.99
6,0.26,6,player,0.4478,542.5,221.57,564.17,246.0
7,0.3,2,player,0.8461,390.99,423.45,445.61,460.91
7,0.3,3,player,0.3207,570.99,0.26,590.6,23.89
7,0.3,5,player,0.1385,1195.56,140.04,1257.09,160.96
7,0.3,6,player,0.3321,541.26,221.36,563.53,245.81
7,0.3,1,player,0.5416,383.93,372.5,418.04,399.74
8,0.35,2,player,0.8371,391.88,423.82,445.42,461.04
8,0.35,3,player,0.217,571.07,0.22,590.56,23.65
8,0.35,6,player,0.4312,538.92,220.92,561.79,245.56
8,0.35,1,player,0.4418,380.07,372.73,410.29,397.35
8,0.35,4,player,0.7457,406.69,321.22,448.04,346.26
9,0.39,2,player,0.8545,392.82,425.07,443.05,460.33
9,0.39,3,player,0.4159,571.03,0.19,590.38,23.36
9,0.39,1,player,0.7032,376.06,372.68,403.89,395.83
9,0.39,4,player,0.7692,398.98,320.88,440.82,346.68
10,0.43,2,player,0.79,394.17,426.89,440.39,459.47
10,0.43,3,player,0.4011,570.89,0.19,590.17,23.2
11,0.48,2,player,0.8344,393.47,427.34,437.92,458.87
11,0.48,3,player,0.4324,570.86,0.2,590.01,22.94
11,0.48,1,player,0.6234,370.62,372.56,397.1,394.7
11,0.48,4,player,0.544,387.58,323.05,426.7,347.66
12,0.52,2,player,0.7735,392.56,427.66,435.44,458.11
12,0.52,3,player,0.2215,570.65,0.17,589.99,23.04
12,0.52,1,player,0.7334,368.27,373.27,393.24,394.11
13,0.57,2,player,0.8075,391.72,427.38,433.53,457.13
13,0.57,3,player,0.3444,570.48,0.16,589.78,22.83
13,0.57,1,player,0.7571,365.73,373.63,389.48,393.29
13,0.57,4,player,0.615,381.26,322.1,412.77,342.1
14,0.61,2,player,0.7828,391.52,428.11,431.7,456.47
14,0.61,3,player,0.2962,570.31,0.16,589.52,22.57
14,0.61,1,player,0.7957,362.45,373.57,386.57,393.48
14,0.61,26,player,0.6866,490.83,356.32,516.64,387.12
14,0.61,28,player,0.4028,1221.46,608.83,1274.64,633.42
15,0.65,2,player,0.7691,391.97,429.08,429.4,455.02
15,0.65,3,player,0.2663,570.27,0.16,589.5,22.45
15,0.65,1,player,0.7366,359.58,373.09,384.03,393.34
15,0.65,26,player,0.6742,487.84,355.7,514.15,387.04
15,0.65,28,player,0.4021,1221.72,608.85,1274.53,633.25
15,0.65,29,player,0.341,1215.83,626.42,1272.78,654.6
16,0.7,2,player,0.7863,392.31,429.86,428.22,454.09
16,0.7,3,player,0.1671,570.34,0.18,589.68,22.45
16,0.7,1,player,0.7642,357.09,372.61,382.85,393.92
16,0.7,26,player,0.7138,482.61,355.4,510.53,388.55
16,0.7,28,player,0.4531,1221.03,608.62,1274.64,633.38
16,0.7,29,player,0.4906,1216.38,626.82,1272.18,654.42
17,0.74,2,player,0.7742,391.92,429.55,427.72,452.96
17,0.74,3,player,0.168,570.22,0.15,589.82,22.61
17,0.74,1,player,0.7555,355.27,372.33,381.83,394.06
17,0.74,26,player,0.6888,478.63,355.43,507.25,389.32
17,0.74,28,player,0.5232,1221.14,608.47,1274.6,633.13
17,0.74,29,player,0.6278,1216.5,626.74,1272.03,654.18
18,0.78,2,player,0.5951,391.09,428.97,428.5,452.76
18,0.78,3,player,0.3167,570.16,0.14,589.89,22.63
18,0.78,1,player,0.793,353.55,371.72,380.88,393.75
18,0.78,26,player,0.5292,475.62,355.47,504.14,389.39
18,0.78,28,player,0.4392,1221.06,608.61,1274.78,633.39
18,0.78,29,player,0.5907,1216.83,626.85,1271.85,654.0
19,0.83,2,player,0.4646,389.2,426.82,430.58,452.66
19,0.83,3,player,0.3219,570.12,0.13,589.94,22.63
19,0.83,1,player,0.8604,352.54,371.08,380.78,393.54
19,0.83,26,player,0.6449,472.84,355.63,501.87,390.42
19,0.83,28,player,0.4276,1220.6,609.06,1273.58,633.37
19,0.83,29,player,0.5386,1216.65,626.6,1271.97,653.85
20,0.87,2,player,0.6314,387.41,422.97,434.57,452.02
20,0.87,3,player,0.3051,570.09,0.13,589.99,22.63
20,0.87,1,player,0.7507,351.41,370.38,381.6,393.89
