frame_number,timestamp_sec,object_id,team,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2
4,0.14,4,Team A,0.9172,610,299,670,461
4,0.14,5,Team B,0.8537,6,330,79,485
4,0.14,6,Team A,0.8672,659,241,693,395
5,0.17,4,Team A,0.8888,609,300,679,462
5,0.17,5,Team B,0.8651,12,329,76,481
5,0.17,6,Team A,0.8607,660,240,694,395
5,0.17,7,Team A,0.7567,568,144,632,227
6,0.21,4,Team A,0.8892,608,299,684,462
6,0.21,5,Team B,0.8599,14,329,78,480
6,0.21,6,Team A,0.8443,661,240,695,394
6,0.21,7,Team A,0.7297,569,145,649,235
6,0.21,8,Team B,0.8744,1,328,39,486
7,0.24,4,Team A,0.8968,608,301,686,461
7,0.24,5,Team B,0.8543,8,329,77,479
7,0.24,6,Team A,0.8497,663,240,696,394
7,0.24,7,Team A,0.8817,570,146,652,236
7,0.24,8,Team B,0.8695,0,330,42,485
8,0.28,4,Team A,0.894,608,301,689,462
8,0.28,5,Team B,0.8641,7,329,80,479
8,0.28,6,Team A,0.8514,665,240,698,394
8,0.28,7,Team A,0.8788,572,148,654,236
8,0.28,8,Team B,0.8939,0,329,43,485
9,0.31,4,Team A,0.9033,608,299,691,461
9,0.31,5,Team B,0.8631,2,319,81,481
9,0.31,6,Team A,0.8656,667,240,700,394
9,0.31,7,Team A,0.8718,577,147,656,236
9,0.31,8,Team B,0.7966,0,324,38,481
10,0.34,4,Team A,0.9149,609,299,694,461
10,0.34,5,Team B,0.6596,10,319,82,481
10,0.34,6,Team A,0.8622,670,239,703,393
10,0.34,7,Team A,0.888,585,146,658,235
10,0.34,8,Team B,0.7884,0,318,38,474
11,0.38,4,Team A,0.9124,612,297,697,461
11,0.38,5,Team B,0.4747,11,322,74,479
11,0.38,6,Team A,0.8388,673,238,707,393
11,0.38,7,Team A,0.8692,595,145,662,235
11,0.38,8,Team B,0.7931,0,316,35,472
12,0.41,4,Team A,0.9044,613,294,701,461
12,0.41,5,Team B,0.4764,6,318,69,477
12,0.41,6,Team A,0.7954,676,238,710,393
12,0.41,7,Team A,0.6941,602,145,663,234
12,0.41,8,Team B,0.7877,0,316,36,470
13,0.45,4,Team A,0.9085,615,300,706,463
13,0.45,5,Team B,0.5621,11,321,62,471
13,0.45,6,Team A,0.7054,679,238,711,362
13,0.45,7,Team A,0.4854,610,144,662,233
13,0.45,8,Team B,0.8163,0,314,35,470
14,0.48,4,Team A,0.9016,619,300,712,460
14,0.48,5,Team B,0.7,1,314,60,469
14,0.48,6,Team A,0.7538,683,238,721,388
14,0.48,7,Team A,0.8493,622,142,684,232
15,0.52,4,Team A,0.9067,625,300,716,459
15,0.52,5,Team B,0.7382,0,314,58,469
15,0.52,6,Team A,0.6204,689,237,728,392
15,0.52,7,Team A,0.8163,626,142,691,232
16,0.55,4,Team A,0.8887,634,299,725,459
16,0.55,5,Team B,0.758,0,311,67,467
16,0.55,6,Team A,0.7927,698,236,736,392
16,0.55,7,Team A,0.7298,641,140,700,232
17,0.59,4,Team A,0.8847,643,299,732,459
17,0.59,5,Team B,0.7945,0,305,75,467
17,0.59,6,Team A,0.7417,707,236,746,392
17,0.59,7,Team A,0.7462,650,137,712,229
18,0.62,4,Team A,0.849,649,297,742,458
18,0.62,5,Team B,0.3622,1,302,81,465
18,0.62,6,Team A,0.7814,714,236,758,392
18,0.62,7,Team A,0.5698,656,134,723,228
19,0.66,4,Team A,0.7496,658,296,748,458
19,0.66,5,Team A,0.7972,0,295,129,466
19,0.66,7,Team A,0.4558,666,134,729,227
20,0.69,4,Team A,0.8255,668,295,763,457
20,0.69,5,Team A,0.7515,2,291,140,464
20,0.69,7,Team A,0.7706,677,130,738,227
20,0.69,6,Team A,0.587,735,235,780,389
21,0.72,4,Team A,0.7842,681,294,770,457
21,0.72,5,Team A,0.8831,2,289,107,458
21,0.72,7,Team A,0.7412,688,130,751,227
21,0.72,6,Team A,0.6893,748,234,790,389
22,0.76,4,Team A,0.847,696,293,779,454
22,0.76,5,Team A,0.9084,5,288,112,445
22,0.76,7,Team A,0.811,701,129,767,226
22,0.76,6,Team A,0.6735,761,233,802,386
23,0.79,4,Team A,0.5152,710,293,800,453
23,0.79,5,Team A,0.8686,13,288,121,451
24,0.83,4,Team A,0.3241,720,305,821,451
24,0.83,5,Team A,0.872,17,286,128,451
25,0.86,5,Team B,0.8529,18,285,131,449
26,0.9,5,Team B,0.8406,27,284,132,443
26,0.9,4,Team A,0.3324,756,293,858,448
