Frame,Tracking_ID,Class,X_Center,Y_Center,Width,Height
1,1706,traffic light,843.67,251.54,29.13,97.48
1,1707,person,396.46,532.24,62.83,164.9
1,1708,person,281.62,548.17,50.49,134.67
1,1709,traffic light,113.7,161.11,36.6,80.18
1,1710,person,865.95,540.98,34.44,92.38
1,1711,person,1123.82,521.52,39.27,109.29
1,1712,person,516.3,540.72,49.74,142.69
1,1713,person,1169.47,536.48,37.51,109.58
1,1714,person,715.81,505.34,29.77,91.73
1,1715,person,1052.32,521.54,40.75,95.1
1,1716,traffic light,203.65,331.38,25.56,102.25
1,1717,person,816.68,525.95,38.86,112.94
1,1718,motorcycle,469.11,574.63,62.69,97.32
1,1719,traffic light,1004.89,367.47,26.36,74.14
1,1720,traffic light,1003.77,348.87,22.87,36.4
1,1721,person,673.5,491.77,18.52,56.1
1,1722,person,1253.96,519.2,27.82,81.86
1,1723,person,1152.96,536.47,27.83,107.34
1,1724,person,473.26,533.36,55.74,143.81
2,1706,traffic light,843.63,251.49,29.12,97.43
2,1707,person,396.0,531.86,63.12,165.62
2,1708,person,281.65,548.09,50.33,134.15
2,1709,traffic light,113.65,161.2,36.54,80.05
2,1710,person,866.16,540.84,34.19,91.69
2,1711,person,1123.94,521.89,39.36,109.45
2,1712,person,517.01,540.65,49.78,142.73
2,1713,person,1169.56,536.37,37.66,110.17
2,1714,person,715.54,505.61,29.31,90.31
2,1715,person,1052.65,523.33,39.51,92.17
2,1716,traffic light,203.51,331.39,25.56,102.27
2,1717,person,816.21,525.9,38.27,111.15
2,1718,motorcycle,469.06,575.42,62.09,96.33
2,1719,traffic light,1005.04,367.82,26.58,74.74
2,1720,traffic light,1003.71,348.4,22.37,35.59
2,1721,person,673.35,491.88,18.75,56.8
2,1722,person,1253.72,519.14,28.05,82.5
2,1723,person,1153.67,536.47,27.9,107.63
2,1724,person,473.49,534.64,56.84,146.69
3,1706,traffic light,843.58,251.47,29.08,97.32
3,1707,person,395.78,531.11,62.74,164.51
3,1708,person,281.99,547.99,50.22,133.64
3,1709,traffic light,113.64,161.02,36.56,80.09
3,1710,person,866.55,540.85,34.28,91.91
3,1711,person,1124.19,521.85,39.38,109.27
3,1712,person,517.87,540.17,49.97,143.21
3,1713,person,1169.77,536.41,37.64,110.31
3,1714,person,715.52,505.65,29.1,89.63
3,1715,person,1052.44,523.46,41.23,96.16
3,1716,traffic light,203.39,331.35,25.62,102.52
3,1717,person,815.79,525.26,37.28,108.09
3,1718,motorcycle,469.03,576.37,61.52,95.34
3,1719,traffic light,1005.05,368.18,26.83,75.45
3,1720,traffic light,1003.68,348.0,21.94,34.84
3,1721,person,673.17,492.0,18.9,57.27
3,1722,person,1253.63,519.05,28.11,82.66
3,1724,person,473.56,535.79,57.7,148.98
4,1706,traffic light,843.57,251.43,29.06,97.25
4,1707,person,395.68,531.12,62.91,164.84
4,1708,person,282.06,547.9,50.25,133.41
4,1709,traffic light,113.61,160.94,36.55,80.06
4,1710,person,867.01,541.29,34.26,91.84
