Frame,Tracking_ID,Class
0,1,car
0,2,person
0,3,car
0,4,car
0,5,car
0,6,person
0,7,motorcycle
0,8,person
0,9,person
0,10,motorcycle
0,11,person
0,12,car
0,13,car
0,14,truck
0,15,car
1,1,car
1,2,person
1,3,car
1,4,car
1,5,car
1,6,person
1,7,motorcycle
1,9,person
1,10,motorcycle
1,12,car
1,13,car
1,14,truck
1,15,car
2,1,car
2,2,person
2,3,car
2,4,car
2,5,car
2,6,person
2,7,motorcycle
2,9,person
2,12,car
2,13,car
2,14,truck
2,15,car
3,1,car
3,2,person
3,3,car
3,4,car
3,5,car
3,6,person
3,7,motorcycle
3,9,person
3,12,car
3,13,car
3,14,truck
3,15,car
3,18,car
3,8,person
4,1,car
4,2,person
4,3,car
4,4,car
4,5,car
4,6,person
4,7,motorcycle
4,9,person
4,12,car
4,13,car
4,14,car
4,15,car
4,18,car
4,23,motorcycle
4,8,person
5,1,car
5,2,person
5,3,car
5,4,car
5,5,car
5,6,person
5,7,motorcycle
5,9,person
5,12,car
5,13,car
5,14,car
5,15,car
5,18,car
5,23,motorcycle
5,8,person
6,1,car
6,2,person
6,3,car
6,4,car
6,5,car
6,6,person
6,7,motorcycle
6,9,person
6,12,car
6,13,car
6,14,car
6,15,car
6,18,car
6,23,motorcycle
6,8,person
7,1,car
7,2,person
7,3,car
7,4,car
7,5,car
7,6,person
7,9,person
7,13,car
7,14,car
7,15,car
7,18,car
7,23,motorcycle
7,8,person
8,1,car
8,2,person
8,3,car
8,4,car
8,5,car
8,6,person
8,9,person
8,13,car
8,14,car
8,15,car
8,18,car
8,23,motorcycle
8,8,person
8,29,person
8,31,person
8,7,motorcycle
8,12,car
9,1,car
9,2,person
9,3,car
9,4,car
9,5,car
9,6,person
9,9,person
9,14,car
9,15,car
9,18,car
9,23,motorcycle
9,8,person
9,29,person
9,7,motorcycle
9,12,car
10,1,car
10,2,person
10,3,car
10,4,car
10,5,car
10,6,person
10,9,person
10,14,car
10,15,car
10,18,car
10,23,motorcycle
10,8,person
10,29,person
10,7,motorcycle
10,12,car
11,1,car
11,2,person
11,3,car
11,4,car
11,5,car
11,6,person
11,9,person
11,14,car
11,15,car
11,18,car
11,23,motorcycle
11,8,person
11,29,person
12,1,car
12,2,person
12,3,car
12,4,car
12,5,car
12,6,person
12,9,person
12,14,car
12,15,car
12,18,car
12,23,motorcycle
12,8,person
13,1,car
13,2,person
13,3,car
13,4,car
13,5,car
13,6,person
13,9,person
13,14,car
13,15,car
13,18,car
13,23,motorcycle
13,8,person
13,41,person
14,1,car
14,2,person
14,3,car
14,4,car
14,5,car
14,6,person
14,9,person
14,14,car
14,15,car
14,18,car
14,23,motorcycle
14,8,person
14,41,person
15,1,car
15,2,person
15,3,car
15,4,car
15,5,car
15,6,person
15,9,person
15,14,car
15,15,car
15,18,car
15,23,motorcycle
15,8,person
15,43,person
15,7,motorcycle
16,1,car
16,2,person
16,3,car
16,4,car
16,5,car
16,6,person
16,9,person
16,15,car
16,18,car
16,23,motorcycle
16,8,person
16,43,person
17,1,car
17,2,person
17,3,car
17,4,car
17,5,car
17,6,person
17,9,person
17,15,car
17,18,car
17,23,motorcycle
17,8,person
17,43,person
18,1,car
18,2,person
18,3,car
18,4,car
18,5,car
18,6,person
18,9,person
18,15,car
18,18,car
18,23,motorcycle
19,1,car
19,2,person
19,3,car
19,4,car
19,5,car
19,6,person
19,9,person
19,15,car
19,18,car
19,23,motorcycle
19,50,person
19,14,car
19,8,person
20,1,car
20,2,person
20,3,car
20,4,car
20,5,car
20,6,person
20,9,person
20,15,car
20,18,car
20,23,motorcycle
20,50,person
20,8,person
21,1,car
21,2,person
21,3,car
21,4,car
21,5,car
21,6,person
21,9,person
21,15,car
21,18,car
21,23,motorcycle
21,50,person
21,8,person
21,14,car
22,1,car
22,2,person
22,3,car
22,4,car
22,5,car
22,6,person
22,9,person
22,15,car
22,18,car
22,23,motorcycle
22,50,person
22,8,person
22,14,car
23,1,car
23,2,person
23,3,car
23,4,car
23,5,car
23,6,person
23,9,person
23,15,car
23,18,car
23,23,motorcycle
23,50,person
23,8,person
23,14,car
24,1,car
24,2,person
24,3,car
24,4,car
24,5,car
24,6,person
24,9,person
24,15,car
24,18,car
24,23,motorcycle
24,50,person
25,1,car
25,2,person
25,3,car
25,4,car
25,5,car
25,6,person
25,9,person
25,15,car
25,18,car
25,23,motorcycle
25,50,person
26,1,car
26,2,person
26,3,car
26,4,car
26,5,car
26,6,person
26,9,person
26,15,car
26,18,car
26,23,person
26,50,person
26,14,car
27,1,car
27,2,person
27,3,car
27,4,car
27,5,car
27,6,person
27,9,person
27,15,car
27,18,car
27,50,person
27,8,person
28,1,car
28,2,person
28,3,car
28,4,car
28,5,car
28,6,person
28,9,person
28,15,car
28,18,car
28,50,person
28,8,person
29,1,car
29,2,person
29,3,car
29,4,car
29,5,car
29,6,person
29,9,person
29,15,car
29,18,car
29,50,person
29,23,motorcycle
30,1,car
30,2,person
30,3,car
30,4,car
30,6,person
30,9,person
30,15,car
30,18,car
30,50,person
30,81,car
30,23,motorcycle
30,8,person
31,1,car
31,2,person
31,3,car
31,4,car
31,6,person
31,9,person
31,15,car
31,18,car
31,50,person
31,81,car
31,23,motorcycle
31,8,person
32,1,car
32,2,person
32,3,car
32,4,car
32,6,person
32,9,person
32,15,car
32,18,car
32,50,person
32,81,car
32,23,motorcycle
32,8,person
33,1,car
33,2,person
33,3,car
33,4,car
33,6,person
33,9,person
33,15,car
33,18,car
33,50,person
33,81,car
33,23,motorcycle
33,8,person
33,91,motorcycle
34,1,car
34,2,person
34,3,car
34,4,car
34,6,person
34,9,person
34,15,car
34,18,car
34,50,person
34,81,car
34,23,motorcycle
34,8,person
34,91,motorcycle
35,1,car
35,2,person
35,3,car
35,4,car
35,6,person
35,9,person
35,15,car
35,18,car
35,50,person
35,81,car
35,23,motorcycle
35,8,person
35,14,car
36,1,car
36,2,person
36,3,car
36,4,car
36,6,person
36,9,person
36,15,car
36,18,car
36,50,person
36,81,car
36,8,person
36,96,car
37,1,car
37,2,person
37,3,car
37,4,car
37,6,person
37,9,person
37,15,car
37,18,car
37,50,person
37,81,car
37,8,person
37,96,car
38,1,car
38,2,person
38,3,car
38,4,car
38,6,person
38,9,person
38,15,car
38,18,car
38,50,person
38,81,car
38,8,person
38,96,car
39,1,car
39,2,person
39,3,car
39,4,car
39,6,person
39,9,person
39,15,car
39,18,car
39,50,person
39,81,car
39,8,person
39,96,car
39,14,car
40,1,car
40,2,person
40,3,car
40,4,car
40,6,person
40,9,person
40,15,car
40,18,car
40,50,person
40,81,car
40,8,person
40,96,car
40,14,car
41,1,car
41,2,person
41,3,car
41,4,car
41,6,person
41,9,person
41,15,car
41,18,car
41,50,person
41,81,car
41,8,person
41,96,car
41,14,car
42,1,car
42,2,person
42,3,car
42,4,car
42,6,person
42,9,person
42,15,car
42,18,car
42,50,person
42,81,car
42,8,person
42,96,car
42,14,car
43,1,car
43,2,person
43,3,car
43,4,car
43,6,person
43,9,person
43,15,car
43,18,car
43,50,person
43,81,car
43,8,person
43,96,car
43,14,car
44,1,car
44,2,person
44,3,car
44,4,car
44,6,person
44,9,person
44,15,car
44,18,car
44,50,person
44,81,car
44,8,person
44,96,car
44,14,car
44,120,car
45,1,car
45,2,person
45,3,car
45,4,car
45,6,person
45,9,person
45,15,car
45,18,car
45,50,person
45,81,car
45,8,person
45,96,car
45,14,car
45,120,car
46,1,car
46,2,person
46,3,car
46,4,car
46,6,person
46,9,person
46,15,car
46,18,car
46,50,person
46,81,car
46,8,person
46,96,car
46,14,car
46,120,car
47,1,car
47,2,person
47,3,car
47,4,car
47,6,person
47,9,person
47,15,car
47,18,car
47,50,person
47,81,car
47,8,person
47,96,car
47,14,car
48,1,car
48,2,person
48,3,car
48,4,car
48,6,person
48,9,person
48,15,car
48,18,car
48,50,person
48,81,car
48,8,person
48,96,car
48,14,car
49,1,car
49,2,person
49,3,car
49,4,car
49,6,person
49,9,person
49,15,car
49,18,car
49,50,person
49,81,car
49,8,person
49,96,car
49,14,car
50,1,car
50,2,person
50,3,car
50,4,car
50,6,person
50,9,person
50,15,car
50,18,car
50,50,person
50,81,car
50,8,person
50,96,car
50,14,car
50,5,car
51,1,car
51,2,person
51,3,car
51,4,car
51,6,person
51,9,person
51,15,car
51,18,car
51,50,person
51,81,car
51,8,person
51,96,car
51,14,car
51,5,car
52,1,car
52,2,person
52,3,car
52,4,car
52,6,person
52,9,person
52,15,car
52,18,car
52,50,person
52,81,car
52,8,person
52,96,car
52,14,car
53,1,car
53,2,person
53,3,car
53,4,car
53,6,person
53,9,person
53,15,car
53,18,car
53,50,person
53,81,car
53,8,person
53,96,car
53,14,car
53,5,car
54,1,car
54,2,person
54,3,car
54,4,car
54,6,person
54,9,person
54,15,car
54,18,car
54,50,person
54,81,car
54,8,person
54,96,car
54,14,car
54,134,person
54,5,car
55,1,car
55,2,person
55,3,car
55,4,car
55,6,person
55,9,person
55,15,car
55,18,car
55,50,person
55,81,car
55,8,person
55,96,car
55,14,car
55,134,person
56,1,car
56,2,person
56,3,car
56,4,car
56,6,person
56,9,person
56,15,car
56,18,car
56,50,person
56,81,car
56,8,person
56,96,car
56,14,car
57,1,car
57,2,person
57,3,car
57,4,car
57,6,person
57,9,person
57,15,car
57,18,car
57,50,person
57,81,car
57,8,person
57,96,car
57,14,car
58,1,car
58,2,person
58,3,car
58,4,car
58,9,person
58,15,car
58,18,car
58,50,person
58,81,car
58,8,person
58,96,car
58,14,car
59,1,car
59,2,person
59,3,car
59,4,car
59,9,person
59,15,car
59,18,car
59,50,person
59,81,car
59,8,person
59,96,car
59,14,car
60,1,car
60,2,person
60,3,car
60,4,car
60,9,person
60,15,car
60,18,car
60,50,person
60,81,car
60,96,car
60,14,truck
60,6,person
61,1,car
61,3,car
61,4,car
61,9,person
61,18,car
61,50,person
61,81,car
61,96,car
61,14,truck
61,6,person
61,8,person
62,1,car
62,3,car
62,4,car
62,9,person
62,18,car
62,50,person
62,81,car
62,96,car
62,14,truck
62,6,person
62,8,person
62,2,person
62,15,car
63,1,car
63,3,car
63,4,car
63,9,person
63,18,car
63,50,person
63,81,car
63,96,car
